기업명,기업구분,모집분야,모집인원,고용형태,직급/직책,급여,근무시간,근무지주소,경력,학력,우대조건,스킬,핵심역량,기업URL,domain_id,domain_name,_matched_master_skills
㈜애딕티브,,"모집분야 SNS 콘텐츠 기획 AE, 온라인광고 퍼포먼스 AE",○명,정규직,"사원급, 주임~대리급, 과장~차장급 | 팀원","연봉 3,000~7,000만원 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:00 | 매주 금요일 1시간 단축근무 / 선택적 탄력근무제,"서울 서초구 반포대로28길 24 (서초동, 호원빌딩) 4층 | 지도보기",신입·경력,대졸이상 | (졸업예정자 가능),"컴퓨터활용능력 우수자, 프리젠테이션 능력우수자, 문서작성 우수자, 유관업무 경력자","Google Analytics, PowerPoint",,https://www.jobkorea.co.kr/Recruit/GI_Read/48713878?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
㈜포애드원,,모집분야 광고디자인,○명,정규직,"주임~대리급, 과장~차장급",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,서울 중구 순화동 215번지 바비엥3차 909호 | 지도보기,(1년이상),학력무관,,"CSS, Photoshop",,https://www.jobkorea.co.kr/Recruit/GI_Read/48712042?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,CSS
허브넷굿컴퍼니닷컴,,모집분야 마케팅팀,○명,정규직 | (수습 2개월),,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"서울 영등포구 국제금융로 10 (여의도동, 서울국제금융센터) Three IFC 29층 허브넷 | 지도보기",신입,학력무관,"컴퓨터활용능력 우수자, 프리젠테이션 능력우수자, 유관업무 경험자(인턴·알바), 문서작성 우수자","Google Analytics, Excel, PowerPoint, GTM, Microsoft Office, 컴퓨터활용능력",,https://www.jobkorea.co.kr/Recruit/GI_Read/48711177?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
㈜똑똑홀딩스,,모집분야 퍼포먼스 마케터,1명,"정규직 | , | 계약직 | (근무기간 3개월, 정규직 전환 가능)",면접 후 결정,"연봉 4,500~6,000만원 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:30,"서울 강남구 강남대로 464 (역삼동, 비제바노) 패스트파이브 3F 319호 | 지도보기",(5년이상),학력무관,"컴퓨터활용능력 우수자, 통계분석·리서치 능숙자, 프리젠테이션 능력우수자, 유관업무 경험자(인턴·알바), 엑셀 고급능력 보유자, 문서작성 우수자, 장기근무 가능자","Google Analytics, Excel, PowerPoint, 워드, SNS관리","계획성, | 성실성, | 꼼꼼함, | 협동심, | 성장지향성, | 메타인지, | 스트레스관리, | 윤리의식, | 자존감, | 적응성, | 창의성, | 성취지향성",https://www.jobkorea.co.kr/Recruit/GI_Read/48711056?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
㈜조인스엠,,모집분야 마케팅,○명,정규직 | (수습 3개월),"사원급, 주임~대리급 | 팀원","연봉 2,800만원 이상 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:00 | 오전 08시 ~ 오전10시 30분 자율출근제 실시 중 / 매주 금요일 재택근무 진행 중,"서울 중랑구 신내역로 111 (신내동, 신내SKV1center) B동 824~828호 | 지도보기",신입·경력 | (3년이상),초대졸이상,"컴퓨터활용능력 우수자, 유관업무 경험자(인턴·알바), 문서작성 우수자, 관련 학과 전공자, 관련 자격증 보유자, 광고대행사 출신, 광고학과 전공자, 블로그&인스타&유튜브 체험단 기자단 활동 유경험자","Google Analytics, GTM, Microsoft Office, 망고보드, 컴퓨터활용능력, 프레젠테이션",,https://www.jobkorea.co.kr/Recruit/GI_Read/48710930?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
㈜아트앤컴,,모집분야 SNS & 바이럴 마케팅,1명,"정규직 | (수습 3개월) | , | 계약직 | (근무기간 11개월, 정규직 전환 가능)",사원급,월급 230~260만원 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"서울 종로구 돈화문로 83-1 (와룡동, 하나빌딩) 하나빌딩 2층 | 지도보기",신입·경력 | (1년이상),초대졸이상 | (졸업예정자 가능),"포토샵 능숙자 | 시각디자인학과, 디지털콘텐츠디자인학부","Google Analytics, GTQ 자격","성실성, | 꼼꼼함, | 적응성, | 창의성, | 협동심, | 성장지향성",https://www.jobkorea.co.kr/Recruit/GI_Read/48710759?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
미래아이엔씨,,모집분야 광고영업AE / 온라인 광고 관리,○○명,정규직 | (수습 3개월),사원급 | 팀원,"연봉 3,000만원 이상",주5일(월~금) | 09:00 ~ 18:00,서울 금천구 가산디지털2로 144 (가산동) 현대테라타워 13층 | 지도보기,경력무관,고졸이상,"인근거주자, 컴퓨터활용능력 우수자, 프리젠테이션 능력우수자, 유관업무 경험자(인턴·알바), 유관업무 경력자 | GAIQ, 검색광고마케터 1급, SNS마케팅전문가 1급 | 광고홍보학과, 언론정보학과, 사회계열","Google Analytics, GAIQ 자격, GTM, Microsoft Office, 검색광고 마케터","자존감, | 성장지향성, | 적응성, | 창의성, | 메타인지, | 계획성, | 성실성, | 성취지향성, | 꼼꼼함, | 스트레스관리, | 윤리의식",https://www.jobkorea.co.kr/Recruit/GI_Read/48709448?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
㈜엣지아이디어스,,"모집분야 광고영업 , 인플루언서 , 공동구매 컨설팅",○명,정규직 | (수습 3개월),"팀원, 팀장/매니저/실장, 파트장/그룹장",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"서울 서초구 서초대로 397 (서초동, 부띠크 모나코) 부띠크 모나코 빌딩 | 지도보기",(3년이상),초대졸이상,"프리젠테이션 능력우수자, 유관업무 경험자(인턴·알바), 엑셀 고급능력 보유자, 관련 자격증 보유자, 리더쉽 소유자, 유관업무 경력자(1년), 즉시출근 가능자, 장기근무 가능자 | 광고홍보학과",Google Analytics,,https://www.jobkorea.co.kr/Recruit/GI_Read/48658142?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
기적기획,,모집분야 웹퍼블리셔 및 프론트엔드 개발자 채용,○명,정규직 | (수습 3개월),"사원급, 주임~대리급 | 팀원",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 10:00 ~ 19:00,"서울 강남구 학동로23길 17 (논현동, 초석빌딩) 2층 | 지도보기",신입·경력 | (2년이상),학력무관,,"CSS, HTML, HTML5, Javascript, Jquery, PHP, Cinema4D, Illustrator, Photoshop, 다빈치리졸브","성실성, | 성취지향성, | 꼼꼼함, | 스트레스관리, | 계획성",https://www.jobkorea.co.kr/Recruit/GI_Read/48702333?rPageCode=SL&logpath=21&sn=6&sc=612,10005,미디어광고업,"CSS, HTML, JavaScript, jQuery, PHP"
트루네스트㈜,,모집분야 병의원MSO 해외/국내 마케팅 팀장,1명,정규직 | (수습 1개월),,"연봉 5,000만원 이상 (면접 후 결정)",주5일(월~금) | 10:00 ~ 19:00,서울 서초구 강남대로 507 (반포동) 805호 | 지도보기,(3년이상),대졸이상,"병의원 MSO 네트워크 근무자, 인플루언서 시딩/협업 경험자","Google Analytics, GTM, 네이버 광고, Meta Pixel, 인플루언서 섭외(해외), SNS채널 관리, 기획","성장지향성, | 계획성, | 성취지향성, | 스트레스관리, | 협동심",https://www.jobkorea.co.kr/Recruit/GI_Read/48708976?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
㈜이지위드,,모집분야 WEB 프론트엔드 개발자,○명,정규직 | (수습 3개월),"과장~차장급 | 팀원, 팀장/매니저/실장",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:30 ~ 06:30 | 탄력근무제 | 매주 수요일은 자율출근제 시행중,"서울 강남구 학동로 175 (논현동, 미디어센타) 6층 | 지도보기",(5년이상),학력무관,"유관업무 경력자, 즉시출근 가능자","Ajax, Git, HTML5, Jquery, Vue.js","성실성, | 꼼꼼함, | 윤리의식, | 협동심, | 계획성",https://www.jobkorea.co.kr/Recruit/GI_Read/48708885?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,"Ajax, Git, jQuery, Vue.js"
㈜이노션,,모집분야 데이터마이닝,○명,정규직 | (수습 3개월),면접 후 결정,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 08:30 ~ 17:30 | 탄력근무제,"서울 강남구 강남대로 308 (역삼동, 랜드마크타워) | 지도보기",(6년이상),대졸이상,,"Google Analytics, Google Optimize, Optimizely, Tableau, Amplitude, BI디자인, CRM",,https://www.jobkorea.co.kr/Recruit/GI_Read/48708514?rPageCode=SL&logpath=21&sn=6&sc=612,10005,미디어광고업,"Google Analytics, Google Optimize, Tableau"
407LAB(407랩),,모집분야 온라인마케팅,○명,"정규직 | (수습 2개월) | , | 계약직 | (협의, 정규직 전환 가능)",,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"서울 중구 서애로 23 (필동3가, 중구통일회관) 3464호 | 지도보기",신입·경력,학력무관,[영어] TOEIC(Speaking) | [중국어(북경어)] HSK회화,"Google Analytics, AppsFlyer, GTM","성장지향성, | 계획성, | 성취지향성, | 꼼꼼함, | 창의성",https://www.jobkorea.co.kr/Recruit/GI_Read/48707901?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
연우무역,,모집분야 26년 상반기 경력채용 - 온라인MD,○명,정규직 | (수습 3개월),"과장~차장급 | 팀장/매니저/실장, 파트장/그룹장",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00 | 탄력근무제,경기 남양주시 다산순환로 20 (다산동) 다산현대프리미어캠퍼스 A동 428호 | 지도보기,(3년이상),초대졸이상,,"Google Analytics, Google Optimize, Microsoft Office, 컴퓨터활용능력",,https://www.jobkorea.co.kr/Recruit/GI_Read/48707639?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,"Google Analytics, Google Optimize"
㈜쇼엠,,모집분야 시스템 운영 및 유지보수 담당자,○명,정규직,,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00 | 점심시간 1시간 10분,서울 금천구 가산디지털1로 205-15 (가산동) 610호 | 지도보기,신입,학력무관,"인근거주자, 관련 학과 전공자, 유관업무 경력자(3년), 즉시출근 가능자, 장기근무 가능자 | 소프트웨어개발전공, 컴퓨터공학부(소프트웨어전공), 컴퓨터공학계열","AWS, CSS, HTML5, Javascript, MySQL, PHP, Python, Ubuntu, Linux",,https://www.jobkorea.co.kr/Recruit/GI_Read/48705829?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,"AWS, CSS, JavaScript, MySQL, PHP, Python, Linux"
버드랩 BirdLab,,모집분야 퍼포먼스 마케터,1명,정규직 | (수습 3개월),"사원급, 주임~대리급 | 팀원",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 10:00 ~ 19:00 | 탄력근무제,"서울 강남구 테헤란로 406 (대치동, 샹제리제센터) A-2016 | 지도보기",(3년이상),학력무관,"영어가능자, 일본어가능자, 중국어가능자, 컴퓨터활용능력 우수자, 운전가능자, 통계분석·리서치 능숙자, 프리젠테이션 능력우수자, 엑셀 고급능력 보유자, 문서작성 우수자, 포토샵 능숙자, 관련 자격증 보유자, 우수사원 수상자, 유관업무 경력자(3년), 즉시출근 가능자, 장기근무 가능자","Google Analytics, Google Optimize, GTQ 자격, SQLD 자격, SNS관리, SEO",,https://www.jobkorea.co.kr/Recruit/GI_Read/48706901?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,"Google Analytics, Google Optimize"
브릿지인사이트㈜,,모집분야 건설분양 및 대학교 온라인 마케팅 AE 채용,2명,정규직 | (수습 3개월),"사원급, 주임~대리급, 과장~차장급, 부장급 | 팀원, 팀장/매니저/실장","연봉 3,300만원 이상 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:00,"서울 강남구 학동로8길 10 (논현동, 은솔빌딩) 601호 | 지도보기",신입·경력,학력무관,,"Google Analytics, Microsoft Office","꼼꼼함, | 스트레스관리, | 자존감, | 적응성, | 협동심, | 메타인지, | 계획성, | 성실성, | 성취지향성",https://www.jobkorea.co.kr/Recruit/GI_Read/48698857?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
루터스컴퍼니,,모집분야 마케팅,○명,정규직 | (수습 3개월),사원급 | 팀원,"연봉 3,000만원 이상 (면접 후 결정)",주5일(월~금) | 10:00 ~ 19:00 | 탄력근무제,"서울 서초구 서초대로 396 (서초동, 강남빌딩) 2층, 스파크플러스, 루터스 컴퍼니 | 지도보기",신입·경력 | (1년이상),학력무관,,"Google Analytics, GTM, CRM, Media","성실성, | 스트레스관리, | 협동심, | 창의성, | 성취지향성",https://www.jobkorea.co.kr/Recruit/GI_Read/48703395?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
㈜앤에이미디어,,모집분야 온라인마케팅,1명,정규직,주임~대리급,회사 내규에 따름,주5일(월~금) | 10:00 ~ 19:00,서울 강남구 봉은사로48길 44-12 (역삼동) 1층 | 지도보기,(2년이상),학력무관,,"Google Analytics, Excel, Figma, Notion, PowerPoint, ChatGPT, Gemini",,https://www.jobkorea.co.kr/Recruit/GI_Read/48703191?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
㈜브레이커스,,모집분야 퍼포먼스 마케터,○명,정규직 | (수습 3개월),팀원,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 10:00 ~ 19:00,"서울 성동구 아차산로7나길 18 (성수동2가, 대선APEXCENTER) 803호 | 지도보기",(1년이상),학력무관,"공모전 입상자, 컴퓨터활용능력 우수자, 프리젠테이션 능력우수자, 유관업무 경험자(인턴·알바), 엑셀 고급능력 보유자, 문서작성 우수자, 관련 자격증 보유자, 유관업무 경력자(1년) | 검색광고마케터 1급 | 마케팅전공, 광고미디어학과, 광고ㆍ홍보디자인전공",Google Analytics,"성실성, | 성취지향성, | 꼼꼼함, | 성장지향성, | 계획성",https://www.jobkorea.co.kr/Recruit/GI_Read/48702643?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
GNA Solutions Pty Ltd,,모집분야 그래픽 디자이너,1명,정규직 | (협의),팀원,회사 내규에 따름 (면접 후 결정),화/수/목 | 09:00 ~ 05:00 | 호주 현지 시차에 맞게 근무시간 조정이 필요.,광주 북구 동림동 | 지도보기,,학력무관,[영어] TOEIC(Speaking) | [영어] TOEIC(Writing),"CSS, HTML, Figma, Illustrator, Photoshop, 프리미어",,https://www.jobkorea.co.kr/Recruit/GI_Read/48701959?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,"CSS, HTML"
㈜리보,,모집분야 뷰티 일본 마케팅 주니어 채용,○명,정규직 | (수습 3개월),,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:30 ~ 18:30,서울 강남구 도산대로17길 34 (신사동) 3층 | 지도보기,신입·경력 | (1년이상),학력무관,,"Google Analytics, Excel, PowerPoint",,https://www.jobkorea.co.kr/Recruit/GI_Read/48700597?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
알바트로스픽쳐스㈜,,모집분야 디자인팀,○명,정규직 | (수습 3개월),면접 후 결정,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00 | 휴게시간: 1시간,대전 서구 계백로 1159 (도안동) 3층 | 지도보기,(5년이상),초대졸이상 | (졸업예정자 가능),"인근거주자, 컴퓨터활용능력 우수자, 차량소지자, 운전가능자, 프리젠테이션 능력우수자, 엑셀 고급능력 보유자, 문서작성 우수자, 관련 학과 전공자, 유관업무 경력자(5년), 장기근무 가능자","CSS3, HTML5, Javascript, Jquery, Node.js, PHP, 그누보드, Figma, Ai, 바이브 코딩",,https://www.jobkorea.co.kr/Recruit/GI_Read/48700480?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,"JavaScript, jQuery, Node.js, PHP"
㈜디엑스이,,모집분야 퍼포먼스마케팅 SA 마케터,○명,정규직 | (수습 3개월),"주임~대리급, 과장~차장급 | 팀원",회사 내규에 따름,"주5일(월~금) | 09:30 ~ 18:30 | 탄력근무제 | 시차출퇴근제, 탄력근무제, 선택근무제","서울 중구 동호로 330 (쌍림동, 씨제이제일제당센터) 4층 디엑스이 | 지도보기",(3년이상),대졸이상,,"Google Analytics, Tableau, OA, GA4","성실성, | 협동심, | 성장지향성, | 성취지향성, | 꼼꼼함",https://www.jobkorea.co.kr/Recruit/GI_Read/48699695?rPageCode=SL&logpath=21&sn=6&sc=612,10005,미디어광고업,"Google Analytics, Tableau"
㈜디엑스이,,모집분야 퍼포먼스마케팅 DA 마케터,○명,정규직 | (수습 3개월),"주임~대리급, 과장~차장급 | 팀원",회사 내규에 따름,"주5일(월~금) | 09:30 ~ 18:30 | 탄력근무제 | 시차출퇴근제, 탄력근무제, 선택근무제","서울 중구 동호로 330 (쌍림동, 씨제이제일제당센터) 4층 디엑스이 | 지도보기",(5년이상),대졸이상,,"Google Analytics, Tableau, OA, GA4","성실성, | 협동심, | 성장지향성, | 성취지향성, | 꼼꼼함",https://www.jobkorea.co.kr/Recruit/GI_Read/48699692?rPageCode=SL&logpath=21&sn=6&sc=612,10005,미디어광고업,"Google Analytics, Tableau"
포인트,,모집분야 SNS & 바이럴 마케팅,1명,정규직 | (수습 3개월),사원급,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 10:00 ~ 19:00,"서울 송파구 위례성대로 68 (방이동, 방이동한양빌딩) 501호 | 지도보기",경력무관,학력무관,,"Google Analytics, 컴퓨터활용능력","성실성, | 꼼꼼함, | 창의성, | 협동심, | 성장지향성, | 자존감",https://www.jobkorea.co.kr/Recruit/GI_Read/48699530?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
포인트,,모집분야 SNS & 바이럴 마케팅,1명,정규직 | (수습 3개월),사원급,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 10:00 ~ 19:00,"서울 송파구 위례성대로 68 (방이동, 방이동한양빌딩) 501호 | 지도보기",경력무관,학력무관,,"Google Analytics, 컴퓨터활용능력","성실성, | 꼼꼼함, | 창의성, | 협동심, | 성장지향성, | 자존감",https://www.jobkorea.co.kr/Recruit/GI_Read/48699529?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
제이와이베스트,,모집분야 온라인마케팅,○명,"정규직 | (수습 3개월) | , | 계약직 | (근무기간 1개월, 정규직 전환 가능) | 프리랜서",과장~차장급 | 팀장/매니저/실장,"연봉 2,600~4,000만원 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:00 | 탄력근무제 | 10시 ~ 19시 퇴근 가능,서울 금천구 디지털로 178 (가산동) 가산퍼블릭 A동 | 지도보기,(3년이상),고졸이상 | (졸업예정자 가능),"인근거주자, 컴퓨터활용능력 우수자, 프리젠테이션 능력우수자, 유관업무 경험자(인턴·알바), 문서작성 우수자, 관련 자격증 보유자","Excel, Google Optimize, PowerPoint","계획성, | 성실성, | 성취지향성, | 꼼꼼함, | 스트레스관리, | 성장지향성",https://www.jobkorea.co.kr/Recruit/GI_Read/48699482?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Optimize
한다컴퍼니,,모집분야 마케팅 콘텐츠,○명,"계약직 | (근무기간 1년, 정규직 전환 가능)",주임~대리급,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"부산 연제구 법원남로9번길 17 (거제동, 거제역) 2층 | 지도보기",신입,대졸이상,"공모전 입상자, 컴퓨터활용능력 우수자, 프리젠테이션 능력우수자, 엑셀 고급능력 보유자, 문서작성 우수자, 포토샵 능숙자, 장기근무 가능자 | 검색광고마케터 1급, SNS광고마케터 1급, 컴퓨터활용능력 1급 | 디자인계열, 법학과, 언론광고학과","Google Analytics, Illustrator, Photoshop, 애프터이펙트, GTQ 자격, 컴퓨터활용능력, Adobe Software","계획성, | 성실성, | 꼼꼼함, | 창의성, | 협동심, | 메타인지, | 성장지향성, | 스트레스관리, | 윤리의식, | 자존감, | 적응성, | 성취지향성",https://www.jobkorea.co.kr/Recruit/GI_Read/48699204?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
㈜쇼엠,,모집분야 서버 운영 및 모니터링 담당 경력직,○명,정규직,,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00 | 점심시간 1시간 10분,서울 금천구 가산디지털1로 205-15 (가산동) 610호 | 지도보기,(3년이상),학력무관,"인근거주자, 관련 학과 전공자, 유관업무 경력자(3년), 즉시출근 가능자, 장기근무 가능자 | 소프트웨어개발전공, 컴퓨터공학부(소프트웨어전공), 컴퓨터공학계열","Apache, AWS, MySQL, PHP, Python, Ubuntu, Linux, 풀스택, DBMS",,https://www.jobkorea.co.kr/Recruit/GI_Read/48698885?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,"AWS, MySQL, PHP, Python, Linux, DBMS"
㈜서울언니들,,모집분야 콘텐츠 커머스팀 매니저 채용,○명,정규직 | (수습 3개월),"사원급, 주임~대리급","연봉 3,000만원 이상 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:00,"서울 중구 청계천로 100 (수표동, 시그니쳐타워) 서관 10층 | 지도보기",신입·경력 | (1년이상),대졸이상,유관업무 경력자(1년),"Google Analytics, Excel, PowerPoint, Illustrator, Photoshop",,https://www.jobkorea.co.kr/Recruit/GI_Read/48698823?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
㈜루트스퀘어,,모집분야 마케팅,○명,"정규직 | (협의) | , | 계약직",,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:30 ~ 18:30,서울 강남구 봉은사로97길 20 (삼성동) | 지도보기,(3년이상),학력무관,,"Google Analytics, Photoshop",,https://www.jobkorea.co.kr/Recruit/GI_Read/48698340?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
㈜디티피아,,모집분야 웹디자인,1명,정규직 | (수습 1개월),팀원,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,서울 성동구 성수1가1동 22-3번지 디티피아빌딩 4층 | 지도보기,(5년이상),대졸이상,"즉시출근 가능자, 장기근무 가능자","CSS3, HTML, Javascript, Adobe XD, Figma, Illustrator, Photoshop, UI, UX",,https://www.jobkorea.co.kr/Recruit/GI_Read/48697722?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,"HTML, JavaScript"
디플랜360,,모집분야 디지털마케팅 AE 경력직,○명,정규직 | (수습 3개월),"주임~대리급, 과장~차장급, 면접 후 결정 | 팀원",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:30 ~ 18:30 | 탄력근무제 | 매주 금요일 재택근무,"서울 강남구 테헤란로 443 (삼성동, 애플트리타워) 11층 | 지도보기",(2년이상),대졸이상,"컴퓨터활용능력 우수자, 통계분석·리서치 능숙자, 프리젠테이션 능력우수자, 엑셀 고급능력 보유자, 관련 학과 전공자, 관련 자격증 보유자 | 마케팅과, 광고마케팅학부","Google Analytics, Google Optimize, AppsFlyer",,https://www.jobkorea.co.kr/Recruit/GI_Read/48697586?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,"Google Analytics, Google Optimize"
㈜미핑기획,,모집분야 퍼포먼스마케터,3명,정규직 | (수습 3개월),"주임~대리급, 과장~차장급 | 팀원",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 10:00 ~ 19:00,"서울 강남구 언주로 532 (역삼동, 세일빌딩) 6층 | 지도보기",신입·경력 | (2년이상),고졸이상,"영어가능자, 일본어가능자, 인근거주자, 컴퓨터활용능력 우수자, 운전가능자, 통계분석·리서치 능숙자, 프리젠테이션 능력우수자, 엑셀 고급능력 보유자, 영어권 거주자, 문서작성 우수자, 관련 학과 전공자, 유관업무 경력자(2년), 즉시출근 가능자, 장기근무 가능자","Google Analytics, SA, DA, 그로스해킹, GA, 퍼포먼스마케팅","성실성, | 협동심, | 성장지향성, | 성취지향성, | 윤리의식",https://www.jobkorea.co.kr/Recruit/GI_Read/48697060?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
㈜디티피아,,모집분야 웹 개발,1명,정규직 | (수습 1개월),팀원,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,서울 성동구 성수1가1동 22-3번지 디티피아빌딩 4층 | 지도보기,신입·경력,초대졸이상,"즉시출근 가능자, 장기근무 가능자","Ajax, Javascript, Jquery, MSSQL, SQL, ASP.NET CORE, ASP.NET MVC, GitHub, Microsoft SQL Server",,https://www.jobkorea.co.kr/Recruit/GI_Read/48696301?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,"Ajax, JavaScript, jQuery, MSSQL, SQL, GitHub"
버드랩 BirdLab,,모집분야 콘텐츠마케터,1명,정규직 | (수습 3개월),"사원급, 주임~대리급 | 팀원",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 10:00 ~ 19:00 | 탄력근무제,"서울 강남구 테헤란로 406 (대치동, 샹제리제센터) A-2016 | 지도보기",신입·경력 | (1년이상),학력무관,"영어가능자, 일본어가능자, 중국어가능자, 컴퓨터활용능력 우수자, 운전가능자, 통계분석·리서치 능숙자, 프리젠테이션 능력우수자, 엑셀 고급능력 보유자, 문서작성 우수자, 포토샵 능숙자, 관련 자격증 보유자, 리더쉽 소유자, 우수사원 수상자, 유관업무 경력자(3년), 즉시출근 가능자, 장기근무 가능자","Google Analytics, Google Optimize, GTQ 자격, SQLD 자격, SNS관리, SEO",,https://www.jobkorea.co.kr/Recruit/GI_Read/48696142?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,"Google Analytics, Google Optimize"
㈜아이애드원,,모집분야 웹디자이너 경력사원 모집,1명,정규직 | (수습 1개월),주임~대리급 | 팀원,"연봉 3,800만원 이상 (면접 후 결정)",주5일(월~금) | 09:30 ~ 18:00,"서울 서초구 서초대로 250 (서초동, 스타갤러리브릿지) 12층 | 지도보기",(5년이상),고졸이상,"프리젠테이션 능력우수자, 포토샵 능숙자, 관련 자격증 보유자","HTML, Adobe XD, Illustrator","성실성, | 성취지향성, | 꼼꼼함, | 스트레스관리, | 윤리의식, | 적응성, | 창의성, | 협동심, | 메타인지, | 성장지향성, | 계획성",https://www.jobkorea.co.kr/Recruit/GI_Read/48695025?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,HTML
㈜디티피아,,모집분야 사내전산 및 시스템 관리,1명,정규직 | (수습 1개월),팀원,회사 내규에 따름 (면접 후 결정),"주5일(월~금) | 09:00 ~ 18:00 | 오전조, 오후조 교대근무",서울 성동구 성수1가1동 22-3번지 디티피아빌딩 4층 | 지도보기,신입·경력,고졸이상,"즉시출근 가능자, 장기근무 가능자","AWS, CCNA, 정보보안기사 자격, 정보처리기사 자격",,https://www.jobkorea.co.kr/Recruit/GI_Read/48694948?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,AWS
